"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"primate tetraparvovirus 1",FALSE,""
"prospect hill hantavirus",FALSE,""
"pseudocowpox",TRUE,"pseudocowpox"
"psipapillomavirus 1",FALSE,""
"puma lentivirus",TRUE,"puma lentivirus"
"punta toro phlebovirus",FALSE,""
"puumala hantavirus",FALSE,""
"qalyub nairovirus",FALSE,""
"quaranfil",TRUE,"quaranfil"
"rabbit fibroma",TRUE,"rabbit fibroma"
"rabbit hemorrhagic disease",TRUE,"rabbit hemorrhagic disease"
"rabies lyssavirus",FALSE,""
"raccoonpox",TRUE,"raccoonpox"
"reston ebolavirus",TRUE,"reston ebolavirus"
"rhinolophus bat coronavirus hku2",FALSE,""
"rhinovirus a",FALSE,""
"rhinovirus b",FALSE,""
"rhinovirus c",FALSE,""
"rhopapillomavirus 1",FALSE,""
"rift valley fever phlebovirus",FALSE,""
"rinderpest",TRUE,"rinderpest"
"rio bravo",TRUE,"rio bravo"
"rio mamore hantavirus",FALSE,""
"rio negro",TRUE,"rio negro"
"rio segundo hantavirus",FALSE,""
"rodent erythroparvovirus 1",FALSE,""
"rodent protoparvovirus 1",FALSE,""
"rodent protoparvovirus 2",FALSE,""
"rosavirus a",FALSE,""
"ross river",TRUE,"ross river"
"rotavirus a",TRUE,"rotavirus a"
"rotavirus b",TRUE,"rotavirus b"
"rotavirus c",TRUE,"rotavirus c"
"rotavirus e",TRUE,"rotavirus e"
"rotavirus h",FALSE,""
"rousettus bat coronavirus hku9",FALSE,""
"royal farm",FALSE,""
"rubella",TRUE,"rubella"
"saaremaa hantavirus",FALSE,""
"sabia mammarenavirus",FALSE,""
"saboya",TRUE,"saboya"
"saguinine gammaherpesvirus 1",FALSE,""
"saimiriine alphaherpesvirus 1",FALSE,""
"saimiriine betaherpesvirus 4",FALSE,""
"saimiriine gammaherpesvirus 2",FALSE,""
"sakobuvirus a",FALSE,""
"sal vieja",TRUE,"sal vieja"
"salehabad phlebovirus",FALSE,""
"salivirus a",FALSE,""
"san perlita",TRUE,"san perlita"
"sandfly fever naples phlebovirus",FALSE,""
"sangassou hantavirus",FALSE,""
"sapelovirus a",FALSE,""
"sapelovirus b",FALSE,""
"sapporo",TRUE,"sapporo"
"sathuperi orthobunyavirus",TRUE,"sathuperi orthobunyavirus"
"scotophilus bat coronavirus 512",FALSE,""
"semliki forest",TRUE,"semliki forest"
"sendai",TRUE,"sendai"
"senecavirus a",FALSE,""
"seoul hantavirus",FALSE,""
"sepik",TRUE,"sepik"
"severe acute respiratory syndrome-related coronavirus",FALSE,""
"sfts phlebovirus",FALSE,""
"shamonda orthobunyavirus",FALSE,""
"sheeppox",TRUE,"sheeppox"
"shimoni bat lyssavirus",FALSE,""
"shuni orthobunyavirus",FALSE,""
"sigmapapillomavirus 1",FALSE,""
"simbu orthobunyavirus",FALSE,""
"simian foamy",TRUE,"simian foamy"
"simian hemorrhagic fever",TRUE,"simian hemorrhagic fever"
"simian immunodeficiency",TRUE,"simian immunodeficiency"
"simian mastadenovirus a",FALSE,""
"simian virus 41",FALSE,""
"sin nombre hantavirus",FALSE,""
"sindbis",TRUE,"sindbis"
"skunkpox",FALSE,""
"snyder-theilen feline sarcoma",FALSE,""
"southern elephant seal",TRUE,"southern elephant seal"
"squirrel fibroma",TRUE,"squirrel fibroma"
"squirrel monkey retrovirus",TRUE,"squirrel monkey retrovirus"
"squirrelpox",FALSE,""
"st. louis encephalitis",TRUE,"st. louis encephalitis"
"sudan ebolavirus",TRUE,"sudan ebolavirus"
"suid alphaherpesvirus 1",FALSE,""
"suid betaherpesvirus 2",FALSE,""
"suid gammaherpesvirus 3",FALSE,""
"suid gammaherpesvirus 4",FALSE,""
"suid gammaherpesvirus 5",FALSE,""
"swinepox",TRUE,"swinepox"
"tacaiuma orthobunyavirus",FALSE,""
"tacaribe mammarenavirus",FALSE,""
"tai forest ebolavirus",TRUE,"tai forest ebolavirus"
"tamiami mammarenavirus",FALSE,""
"tanapox",TRUE,"tanapox"
"taterapox",TRUE,"taterapox"
"tembusu",TRUE,"tembusu"
"teschovirus a",FALSE,""
"thailand hantavirus",FALSE,""
"thiafora nairovirus",TRUE,"thiafora nairovirus"
"thogoto",TRUE,"thogoto"
"thottapalayam hantavirus",FALSE,""
"tibrogargan tibrovirus",FALSE,""
"tick-borne encephalitis",TRUE,"tick-borne encephalitis"
"timboteua orthobunyavirus",FALSE,""
"tonate",TRUE,"tonate"
"topografov hantavirus",FALSE,""
"torque teno douroucouli",FALSE,""
"torque teno felis",TRUE,"torque teno felis"
"torque teno felis virus 2",FALSE,""
"torque teno midi virus 1",FALSE,""
"torque teno midi virus 10",FALSE,""
"torque teno midi virus 11",FALSE,""
"torque teno midi virus 12",FALSE,""
"torque teno midi virus 13",FALSE,""
"torque teno midi virus 14",FALSE,""
"torque teno midi virus 15",FALSE,""
"torque teno midi virus 2",FALSE,""
"torque teno midi virus 3",FALSE,""
"torque teno midi virus 4",FALSE,""
"torque teno midi virus 5",FALSE,""
"torque teno midi virus 6",FALSE,""
"torque teno midi virus 7",FALSE,""
"torque teno midi virus 8",FALSE,""
