Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
amycolatopsis palatopharyngis,Bacteria,amycolatopsis palatopharyngealis,FALSE,amycolatopsis palatopharyngis,amycolatopsis palatopharyngis
amycolatopsis pretoriensis,Bacteria,,FALSE,amycolatopsis pretoriensis,amycolatopsis pretoriensis
anaerobiospirillum succiniciproducens,Bacteria,,FALSE,anaerobiospirillum succiniciproducens,anaerobiospirillum succiniciproducens
anaerobiospirillum thomasii,Bacteria,anaerobiospirillum-like,FALSE,anaerobiospirillum thomasii,anaerobiospirillum thomasii
anaerococcus hydrogenalis,Bacteria,peptostreptococcus hydrogenalis,FALSE,anaerococcus hydrogenalis,anaerococcus hydrogenalis
anaerococcus lactolyticus,Bacteria,peptostreptococcus lactolyticus,TRUE,anaerococcus lactolyticus,anaerococcus lactolyticus
anaerococcus murdochii,Bacteria,,FALSE,anaerococcus murdochii,anaerococcus murdochii
anaerococcus octavius,Bacteria,peptostreptococcus octavius,FALSE,anaerococcus octavius,anaerococcus octavius
anaerococcus prevotii,Bacteria,peptostreptococcus prevotii; peptococcus prevotii; micrococcus prevotii,FALSE,anaerococcus prevotii,anaerococcus prevotii
anaerococcus senegalensis,Bacteria,,FALSE,anaerococcus senegalensis,anaerococcus senegalensis
anaerococcus tetradius,Bacteria,tetracoccus anaerobius; peptostreptococcus tetradius; gaffkya anaerobius,TRUE,anaerococcus tetradius,anaerococcus tetradius
anaerococcus vaginalis,Bacteria,peptostreptococcus vaginalis,FALSE,anaerococcus vaginalis,anaerococcus vaginalis
anaerofustis stercorihominis,Bacteria,,FALSE,anaerofustis stercorihominis,anaerofustis stercorihominis
anaeroglobus geminatus,Bacteria,,TRUE,anaeroglobus geminatus,anaeroglobus geminatus
anaeroplasma abactoclasticum,Bacteria,,FALSE,anaeroplasma abactoclasticum,anaeroplasma abactoclasticum
anaeroplasma bactoclasticum,Bacteria,acholeplasma bactoclasticum,FALSE,anaeroplasma bactoclasticum,anaeroplasma bactoclasticum
anaerorhabdus furcosa,Bacteria,"ristella furcosa; pseudobacterium furcosum; fusiformis furcosus, etc.",FALSE,anaerorhabdus furcosa,anaerorhabdus furcosa
anaerostipes butyraticus,Bacteria,,TRUE,anaerostipes butyraticus,anaerostipes butyraticus
anaerostipes caccae,Bacteria,,TRUE,anaerostipes caccae,anaerostipes caccae
anaerostipes hadrus,Bacteria,eubacterium hadrum,FALSE,anaerostipes hadrus,anaerostipes hadrus
anaerostipes rhamnosivorans,Bacteria,,FALSE,anaerostipes rhamnosivorans,anaerostipes rhamnosivorans
anaerotruncus colihominis,Bacteria,,FALSE,anaerotruncus colihominis,anaerotruncus colihominis
anaplasma bovis,Bacteria,rickettsia bovis; ehrlichia bovis,TRUE,anaplasma bovis,anaplasma bovis
anaplasma caudatum,Bacteria,,FALSE,anaplasma caudatum,anaplasma caudatum
anaplasma centrale,Bacteria,anaplasma marginale subsp. centrale,TRUE,anaplasma centrale,anaplasma centrale
anaplasma marginale,Bacteria,anaplasma theileri; anaplasma rossicum; anaplasma argentium,TRUE,anaplasma marginale,anaplasma marginale
anaplasma ovis,Bacteria,,TRUE,anaplasma ovis,anaplasma ovis
anaplasma phagocytophilum,Bacteria,ehrlichia equi; rickettsia phagocytophila ovis; rickettsia phagocytophila; etc.,TRUE,anaplasma phagocytophilum,anaplasma phagocytophilum
anaplasma platys,Bacteria,ehrlichia platys,TRUE,anaplasma platys,anaplasma platys
aquimonas voraii,Bacteria,,FALSE,aquimonas voraii,aquimonas voraii
arcanobacterium canis,Bacteria,,FALSE,arcanobacterium canis,arcanobacterium canis
